Date,Precipitation,Year,Month,Day
2006-01-01,0.564960181713104,2006,1,1
2006-01-02,22.140405654907198,2006,1,2
2006-01-03,21.383104324340803,2006,1,3
2006-01-04,0.0,2006,1,4
2006-01-05,0.0,2006,1,5
2006-01-06,0.481117576360703,2006,1,6
2006-01-07,8.53647708892822,2006,1,7
2006-01-08,19.6884517669678,2006,1,8
2006-01-09,19.7617359161377,2006,1,9
2006-01-10,0.7974620461463929,2006,1,10
2006-01-11,0.0,2006,1,11
2006-01-12,20.9538040161133,2006,1,12
2006-01-13,4.25508213043213,2006,1,13
2006-01-14,15.5218677520752,2006,1,14
2006-01-15,4.27675199508667,2006,1,15
2006-01-16,0.0,2006,1,16
2006-01-17,0.0,2006,1,17
2006-01-18,0.32836425304412803,2006,1,18
2006-01-19,6.429279327392581,2006,1,19
2006-01-20,4.355194091796879,2006,1,20
2006-01-21,0.0,2006,1,21
2006-01-22,6.68636178970337,2006,1,22
2006-01-23,8.44266605377197,2006,1,23
2006-01-24,1.8712861537933303,2006,1,24
2006-01-25,8.86952495574951,2006,1,25
2006-01-26,0.0,2006,1,26
2006-01-27,4.85387420654297,2006,1,27
2006-01-28,5.0984983444213885,2006,1,28
2006-01-29,0.0376706011593342,2006,1,29
2006-01-30,2.30220913887024,2006,1,30
2006-01-31,0.0,2006,1,31
2006-02-01,5.73964262008667,2006,2,1
2006-02-02,5.51907730102539,2006,2,2
2006-02-03,2.7525672912597696,2006,2,3
2006-02-04,20.272508621215803,2006,2,4
2006-02-05,12.677978515625,2006,2,5
2006-02-06,19.699670791626,2006,2,6
2006-02-07,23.3861598968506,2006,2,7
2006-02-08,3.8880152702331503,2006,2,8
2006-02-09,12.950538635253901,2006,2,9
2006-02-10,0.0,2006,2,10
2006-02-11,0.154726818203926,2006,2,11
2006-02-12,10.1125030517578,2006,2,12
2006-02-13,15.765113830566401,2006,2,13
2006-02-14,29.889085769653306,2006,2,14
2006-02-15,0.5670220255851751,2006,2,15
2006-02-16,12.3505373001099,2006,2,16
2006-02-17,15.349196434021001,2006,2,17
2006-02-18,0.0,2006,2,18
2006-02-19,3.94335865974426,2006,2,19
2006-02-20,4.350895404815669,2006,2,20
2006-02-21,0.0,2006,2,21
2006-02-22,13.112078666687,2006,2,22
2006-02-23,12.3173351287842,2006,2,23
2006-02-24,0.51203453540802,2006,2,24
2006-02-25,0.619872570037842,2006,2,25
2006-02-26,0.0,2006,2,26
2006-02-27,5.6934700012207005,2006,2,27
2006-02-28,14.731970787048304,2006,2,28
2006-03-01,0.0,2006,3,1
2006-03-02,0.0,2006,3,2
2006-03-03,0.0,2006,3,3
2006-03-04,0.0830086320638657,2006,3,4
2006-03-05,0.567689061164856,2006,3,5
2006-03-06,3.671879529953,2006,3,6
2006-03-07,2.92728233337402,2006,3,7
2006-03-08,2.41307592391968,2006,3,8
2006-03-09,0.664543151855469,2006,3,9
2006-03-10,0.02822595089674,2006,3,10
2006-03-11,14.7417726516724,2006,3,11
2006-03-12,4.59926509857178,2006,3,12
2006-03-13,5.25043535232544,2006,3,13
2006-03-14,4.439136505126951,2006,3,14
2006-03-15,5.50545215606689,2006,3,15
2006-03-16,4.763428688049321,2006,3,16
2006-03-17,6.76157140731812,2006,3,17
2006-03-18,3.81595540046692,2006,3,18
2006-03-19,8.05896091461182,2006,3,19
